image_path,label,original_split,split
data/raw/Training/notumor/Tr-no_626.jpg,notumor,Training,train
data/raw/Testing/pituitary/Te-pi_3.jpg,pituitary,Testing,train
data/raw/Training/notumor/Tr-no_64.jpg,notumor,Training,train
data/raw/Training/pituitary/Tr-pi_84.jpg,pituitary,Training,train
data/raw/Training/notumor/Tr-no_6.jpg,notumor,Training,train
data/raw/Training/glioma/Tr-gl_857.jpg,glioma,Training,train
data/raw/Training/glioma/Tr-gl_668.jpg,glioma,Training,train
data/raw/Training/pituitary/Tr-pi_321.jpg,pituitary,Training,train
data/raw/Training/glioma/Tr-gl_515.jpg,glioma,Training,train
data/raw/Training/glioma/Tr-gl_1259.jpg,glioma,Training,train
data/raw/Training/glioma/Tr-gl_1261.jpg,glioma,Training,train
data/raw/Training/meningioma/Tr-me_417.jpg,meningioma,Training,train
data/raw/Training/notumor/Tr-no_1192.jpg,notumor,Training,train
data/raw/Testing/notumor/Te-no_87.jpg,notumor,Testing,train
data/raw/Training/notumor/Tr-no_1096.jpg,notumor,Training,train
data/raw/Training/notumor/Tr-no_1390.jpg,notumor,Training,train
data/raw/Training/notumor/Tr-no_935.jpg,notumor,Training,train
data/raw/Testing/meningioma/Te-me_250.jpg,meningioma,Testing,train
data/raw/Training/meningioma/Tr-me_840.jpg,meningioma,Training,train
data/raw/Testing/notumor/Te-no_294.jpg,notumor,Testing,train
data/raw/Training/notumor/Tr-no_1338.jpg,notumor,Training,train
data/raw/Training/notumor/Tr-no_868.jpg,notumor,Training,train
data/raw/Training/notumor/Tr-no_850.jpg,notumor,Training,train
data/raw/Training/glioma/Tr-gl_1302.jpg,glioma,Training,train
data/raw/Training/pituitary/Tr-pi_1386.jpg,pituitary,Training,train
data/raw/Training/notumor/Tr-no_965.jpg,notumor,Training,train
data/raw/Training/notumor/Tr-no_1199.jpg,notumor,Training,train
data/raw/Testing/notumor/Te-no_337.jpg,notumor,Testing,train
data/raw/Training/pituitary/Tr-pi_482.jpg,pituitary,Training,train
data/raw/Training/glioma/Tr-gl_322.jpg,glioma,Training,train
data/raw/Training/meningioma/Tr-me_1114.jpg,meningioma,Training,train
data/raw/Training/meningioma/Tr-aug-me_9.jpg,meningioma,Training,train
data/raw/Training/meningioma/Tr-me_791.jpg,meningioma,Training,train
data/raw/Testing/meningioma/Te-me_82.jpg,meningioma,Testing,train
data/raw/Testing/notumor/Te-no_327.jpg,notumor,Testing,train
data/raw/Training/glioma/Tr-gl_637.jpg,glioma,Training,train
data/raw/Testing/glioma/Te-gl_194.jpg,glioma,Testing,train
data/raw/Training/pituitary/Tr-pi_70.jpg,pituitary,Training,train
data/raw/Training/meningioma/Tr-me_1180.jpg,meningioma,Training,train
data/raw/Training/meningioma/Tr-me_773.jpg,meningioma,Training,train
data/raw/Training/glioma/Tr-gl_738.jpg,glioma,Training,train
data/raw/Training/notumor/Tr-no_1235.jpg,notumor,Training,train
data/raw/Training/notumor/Tr-no_30.jpg,notumor,Training,train
data/raw/Training/pituitary/Tr-pi_601.jpg,pituitary,Training,train
data/raw/Testing/glioma/Te-gl_204.jpg,glioma,Testing,train
data/raw/Training/pituitary/Tr-pi_1068.jpg,pituitary,Training,train
data/raw/Training/notumor/Tr-no_969.jpg,notumor,Training,train
data/raw/Testing/notumor/Te-no_147.jpg,notumor,Testing,train
data/raw/Training/meningioma/Tr-me_84.jpg,meningioma,Training,train
data/raw/Training/glioma/Tr-gl_634.jpg,glioma,Training,train
data/raw/Training/notumor/Tr-no_4.jpg,notumor,Training,train
data/raw/Training/pituitary/Tr-pi_933.jpg,pituitary,Training,train
data/raw/Training/pituitary/Tr-pi_1153.jpg,pituitary,Training,train
data/raw/Testing/notumor/Te-no_205.jpg,notumor,Testing,train
data/raw/Training/glioma/Tr-gl_53.jpg,glioma,Training,train
data/raw/Training/meningioma/Tr-me_467.jpg,meningioma,Training,train
data/raw/Testing/meningioma/Te-aug-me_89.jpg,meningioma,Testing,train
data/raw/Testing/pituitary/Te-pi_399.jpg,pituitary,Testing,train
data/raw/Training/glioma/Tr-gl_1116.jpg,glioma,Training,train
data/raw/Training/pituitary/Tr-pi_927.jpg,pituitary,Training,train
data/raw/Training/notumor/Tr-no_1167.jpg,notumor,Training,train
data/raw/Training/pituitary/Tr-pi_479.jpg,pituitary,Training,train
data/raw/Training/notumor/Tr-no_656.jpg,notumor,Training,train
data/raw/Training/glioma/Tr-gl_967.jpg,glioma,Training,train
data/raw/Training/notumor/Tr-no_874.jpg,notumor,Training,train
data/raw/Training/meningioma/Tr-me_185.jpg,meningioma,Training,train
data/raw/Training/glioma/Tr-gl_743.jpg,glioma,Training,train
data/raw/Training/meningioma/Tr-me_428.jpg,meningioma,Training,train
data/raw/Training/glioma/Tr-gl_226.jpg,glioma,Training,train
data/raw/Training/notumor/Tr-no_437.jpg,notumor,Training,train
data/raw/Training/meningioma/Tr-me_204.jpg,meningioma,Training,train
data/raw/Training/glioma/Tr-gl_123.jpg,glioma,Training,train
data/raw/Training/meningioma/Tr-me_693.jpg,meningioma,Training,train
data/raw/Training/pituitary/Tr-pi_833.jpg,pituitary,Training,train
data/raw/Training/pituitary/Tr-pi_1239.jpg,pituitary,Training,train
data/raw/Training/notumor/Tr-no_864.jpg,notumor,Training,train
data/raw/Training/glioma/Tr-gl_1321.jpg,glioma,Training,train
data/raw/Training/pituitary/Tr-pi_537.jpg,pituitary,Training,train
data/raw/Training/notumor/Tr-no_811.jpg,notumor,Training,train
data/raw/Training/pituitary/Tr-pi_1085.jpg,pituitary,Training,train
data/raw/Testing/notumor/Te-no_220.jpg,notumor,Testing,train
data/raw/Testing/pituitary/Te-pi_84.jpg,pituitary,Testing,train
data/raw/Training/pituitary/Tr-pi_349.jpg,pituitary,Training,train
data/raw/Training/pituitary/Tr-pi_1207.jpg,pituitary,Training,train
data/raw/Testing/glioma/Te-gl_100.jpg,glioma,Testing,train
data/raw/Training/meningioma/Tr-me_44.jpg,meningioma,Training,train
data/raw/Training/meningioma/Tr-me_725.jpg,meningioma,Training,train
data/raw/Training/meningioma/Tr-me_1021.jpg,meningioma,Training,train
data/raw/Training/glioma/Tr-gl_140.jpg,glioma,Training,train
data/raw/Training/pituitary/Tr-pi_251.jpg,pituitary,Training,train
data/raw/Testing/glioma/Te-gl_137.jpg,glioma,Testing,train
data/raw/Training/pituitary/Tr-pi_1027.jpg,pituitary,Training,train
data/raw/Testing/meningioma/Te-me_227.jpg,meningioma,Testing,train
data/raw/Testing/notumor/Te-no_329.jpg,notumor,Testing,train
data/raw/Training/notumor/Tr-no_748.jpg,notumor,Training,train
data/raw/Testing/notumor/Te-no_375.jpg,notumor,Testing,train
data/raw/Training/glioma/Tr-gl_30.jpg,glioma,Training,train
data/raw/Training/pituitary/Tr-pi_1199.jpg,pituitary,Training,train
data/raw/Training/glioma/Tr-gl_1109.jpg,glioma,Training,train
data/raw/Training/glioma/Tr-gl_1212.jpg,glioma,Training,train
data/raw/Training/pituitary/Tr-pi_1131.jpg,pituitary,Training,train
data/raw/Training/glioma/Tr-gl_160.jpg,glioma,Training,train
